VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_13	--8pSDeC-fg_13-5-rgb_front	67.47	73.63	negative Such as I am unlove, unlovable and no one will like me.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_7	-08ZGCviCm4_7-5-rgb_front	86.87	90.44	positive That is a great tip that I give to a lot of my students.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_7	-0BynF9TSNI_7-5-rgb_front	54.67	59.74	positive When you put in beneath that flame, it glazes and just comes out spectacular.
-0daC3SWCPQ	-0daC3SWCPQ-5-rgb_front	-0daC3SWCPQ_13	-0daC3SWCPQ_13-5-rgb_front	92.85	99.84	positive These are just some of the wonderful benefits why families home school.
-0yRaqY7nTE	-0yRaqY7nTE-5-rgb_front	-0yRaqY7nTE_4	-0yRaqY7nTE_4-5-rgb_front	15.11	26.79	positive Now the best thing you can do first of all is to clear your car out with all the stuff that you would like and take your license plates off.
-1Uik-vwQoc	-1Uik-vwQoc-5-rgb_front	-1Uik-vwQoc_2	-1Uik-vwQoc_2-5-rgb_front	24.75	27.92	positive This particular one is our Golden Retriever.
-1XUnputrgk	-1XUnputrgk-5-rgb_front	-1XUnputrgk_0	-1XUnputrgk_0-5-rgb_front	0.82	3.63	neutral Okay, another thing that for me is important.
-1fUFbij2s0	-1fUFbij2s0-5-rgb_front	-1fUFbij2s0_35	-1fUFbij2s0_35-5-rgb_front	245.27	249.7	positive And as in anything, practice makes perfect.
-4Sl9mPOlfA	-4Sl9mPOlfA-3-rgb_front	-4Sl9mPOlfA_1	-4Sl9mPOlfA_1-3-rgb_front	11.5	20.71	positive Take a brush, little glue brush just like this, and spread this glue out very very thoroughly.
-6PULg1jlpc	-6PULg1jlpc-5-rgb_front	-6PULg1jlpc_0	-6PULg1jlpc_0-5-rgb_front	2.2	6.17	positive O.k., perfect we're going to get started in a second.
-6PULg1jlpc	-6PULg1jlpc-5-rgb_front	-6PULg1jlpc_17	-6PULg1jlpc_17-5-rgb_front	130.11	139.89	positive My name is Sylvia Russell and this is how you can clean your skin and get rid of makeup.
-70D86eMmIc	-70D86eMmIc-5-rgb_front	-70D86eMmIc_14	-70D86eMmIc_14-5-rgb_front	164.62	167.67	positive They're beautiful, beautiful plants.
-70D86eMmIc	-70D86eMmIc-5-rgb_front	-70D86eMmIc_15	-70D86eMmIc_15-5-rgb_front	167.71	180.83	positive My favorite location for where plants grow, especially bulbs is South Africa.
-8j9K3T5lkw	-8j9K3T5lkw-8-rgb_front	-8j9K3T5lkw_7	-8j9K3T5lkw_7-8-rgb_front	32.0	43.71	neutral Okay, so the latissimus dorsi connects along the iliac crest, up along the thoracic spine here, and then up into the shoulder and down.
-8tIt1vEinQ	-8tIt1vEinQ-8-rgb_front	-8tIt1vEinQ_10	-8tIt1vEinQ_10-8-rgb_front	48.07	48.46	neutral Okay.
-98tdkCF-sY	-98tdkCF-sY-5-rgb_front	-98tdkCF-sY_9	-98tdkCF-sY_9-5-rgb_front	91.87	93.6	positive Thank you very much.
-9D6kP1TgbY	-9D6kP1TgbY-8-rgb_front	-9D6kP1TgbY_0	-9D6kP1TgbY_0-8-rgb_front	0.26	2.56	neutral Okay, the eyes are basically done.
-9D6kP1TgbY	-9D6kP1TgbY-8-rgb_front	-9D6kP1TgbY_1	-9D6kP1TgbY_1-8-rgb_front	2.64	4.75	positive This is our perfect eye look for Goth.
-9D6kP1TgbY	-9D6kP1TgbY-8-rgb_front	-9D6kP1TgbY_22	-9D6kP1TgbY_22-8-rgb_front	87.37	89.35	positive Look how perfect that brow looks.
-9TmNCFEtDo	-9TmNCFEtDo-8-rgb_front	-9TmNCFEtDo_4	-9TmNCFEtDo_4-8-rgb_front	45.08	59.83	positive This adds fullness to the eyelash without actually not having to use a volumizer mascara.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_0	-9nBmSvp2Co_0-8-rgb_front	3.85	8.14	neutral Okay, it is efficiently chilled, just brought it out of the refrigerator.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_2	-9nBmSvp2Co_2-8-rgb_front	12.14	15.37	neutral And you can pop it in the freezer if you need to, that's okay too.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_5	-9nBmSvp2Co_5-8-rgb_front	25.61	26.55	neutral But that's okay.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_6	-9nBmSvp2Co_6-8-rgb_front	26.56	30.59	neutral Fudge is homemade, at least it should be, so that's okay, not a big deal.
-9nBmSvp2Co	-9nBmSvp2Co-8-rgb_front	-9nBmSvp2Co_9	-9nBmSvp2Co_9-8-rgb_front	41.34	42.15	neutral That's okay.
-AFID_P6YU0	-AFID_P6YU0-8-rgb_front	-AFID_P6YU0_17	-AFID_P6YU0_17-8-rgb_front	69.75	71.01	positive Just a beautiful plant.
-AFID_P6YU0	-AFID_P6YU0-8-rgb_front	-AFID_P6YU0_3	-AFID_P6YU0_3-8-rgb_front	15.24	17.89	positive I love Crocosmia Lucifer.
-AKdG2AyDW4	-AKdG2AyDW4-8-rgb_front	-AKdG2AyDW4_5	-AKdG2AyDW4_5-8-rgb_front	18.88	19.57	neutral That's okay though.
-Ah1r8OnmMM	-Ah1r8OnmMM-8-rgb_front	-Ah1r8OnmMM_6	-Ah1r8OnmMM_6-8-rgb_front	56.65	61.74	neutral Ok get that piece up so I'm going for reinforcements with my, there it goes.
-Aiz9jYxt4g	-Aiz9jYxt4g-8-rgb_front	-Aiz9jYxt4g_10	-Aiz9jYxt4g_10-8-rgb_front	70.44	72.01	positive So this is my favorite choice of sponges.
-Aiz9jYxt4g	-Aiz9jYxt4g-8-rgb_front	-Aiz9jYxt4g_9	-Aiz9jYxt4g_9-8-rgb_front	66.82	70.4	positive This one I haven't cut and it fits perfectly in my hand.
-B0GueDqaoY	-B0GueDqaoY-8-rgb_front	-B0GueDqaoY_2	-B0GueDqaoY_2-8-rgb_front	12.87	21.39	neutral Or else I think maybe people would like to see something that's more abstract and I just kinda just have fun with the glass and add other materials to it and so on.
-BABPsEWA54	-BABPsEWA54-3-rgb_front	-BABPsEWA54_28	-BABPsEWA54_28-3-rgb_front	130.06	133.2	positive Great, flat folded.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_1	-BFCJ9zmfOo_1-8-rgb_front	6.44	10.94	neutral Okay, I'm going to lay this exactly on here where we want it, and kind of hold on a little bit.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_14	-BFCJ9zmfOo_14-8-rgb_front	64.97	65.53	positive Wow.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_18	-BFCJ9zmfOo_18-8-rgb_front	77.18	81.3	neutral Okay, we're going to show you what this looks like.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_19	-BFCJ9zmfOo_19-8-rgb_front	82.26	84.87	positive And this is our chocolate cracker.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_27	-BFCJ9zmfOo_27-8-rgb_front	119.13	123.14	positive We have nuts in there, and we have the flax, and that kept it together beautifully.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_3	-BFCJ9zmfOo_3-8-rgb_front	24.79	25.01	neutral Okay.
-BFCJ9zmfOo	-BFCJ9zmfOo-8-rgb_front	-BFCJ9zmfOo_7	-BFCJ9zmfOo_7-8-rgb_front	45.37	47.0	neutral Okay, so we're going to start work.
-BKq3iOBB9k	-BKq3iOBB9k-3-rgb_front	-BKq3iOBB9k_0	-BKq3iOBB9k_0-3-rgb_front	0.63	5.22	neutral Okay, I'm giving my speech now.
-BKq3iOBB9k	-BKq3iOBB9k-3-rgb_front	-BKq3iOBB9k_1	-BKq3iOBB9k_1-3-rgb_front	5.26	8.16	neutral Okay, I'm giving my speech with my note cards.
-BKq3iOBB9k	-BKq3iOBB9k-3-rgb_front	-BKq3iOBB9k_14	-BKq3iOBB9k_14-3-rgb_front	66.87	71.73	neutral Okay, hold your note cards, use your note cards, keep them down here.
-BKq3iOBB9k	-BKq3iOBB9k-3-rgb_front	-BKq3iOBB9k_17	-BKq3iOBB9k_17-3-rgb_front	82.86	94.24	negative Never, ever in the middle of your speech tell me what a bad job you're doing or how bad I must think you are, or how sorry you are, because none of that's true.
-Bz0BNwqAE4	-Bz0BNwqAE4-5-rgb_front	-Bz0BNwqAE4_2	-Bz0BNwqAE4_2-5-rgb_front	8.97	9.44	neutral Okay.
-CAPvlP0BvY	-CAPvlP0BvY-8-rgb_front	-CAPvlP0BvY_3	-CAPvlP0BvY_3-8-rgb_front	18.77	21.76	positive And in addition to that, always, always have nearby your trusty fire extinguisher.
-CAPvlP0BvY	-CAPvlP0BvY-8-rgb_front	-CAPvlP0BvY_5	-CAPvlP0BvY_5-8-rgb_front	25.1	25.66	positive Gorgeous.
-CM5y50t9yg	-CM5y50t9yg-8-rgb_front	-CM5y50t9yg_2	-CM5y50t9yg_2-8-rgb_front	7.46	9.17	positive You've waited for this, you've trained and now you are here.
